Country,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Macao, China",13.61,22.52,25.17,31.48,34.86,46.40,47.33,49.24,54.00,55.20,60.20,61.31,65.80,69.78,77.60,81.64,83.17,83.79,86.47
Madagascar,0.20,0.22,0.34,0.53,0.57,0.61,0.65,1.65,1.63,1.70,1.90,2.30,3.00,3.70,4.17,4.71,,15.00,
Malawi,0.13,0.16,0.22,0.35,0.38,0.43,0.97,0.70,1.07,2.26,3.33,4.35,5.05,5.83,7.60,8.00,13.78,13.90,15.50
Malaysia,21.38,26.70,32.34,42.25,48.63,51.64,55.70,55.80,55.90,56.30,61.00,65.80,57.06,63.67,71.06,78.79,80.14,81.20,84.19
Maldives,2.20,3.62,5.35,6.59,6.87,11.04,16.30,23.20,24.80,26.53,34.00,38.93,44.10,49.28,54.46,59.09,63.19,,
Mali,0.14,0.19,0.23,0.43,0.51,0.73,0.81,1.57,1.80,2.00,2.20,2.80,3.50,7.00,10.33,11.11,15.60,23.00,26.00
Malta,13.11,17.88,28.92,34.62,41.24,40.41,46.90,50.08,58.86,63.00,68.02,68.20,68.91,73.17,75.96,78.08,81.01,81.66,85.78
Marshall Islands,1.53,1.71,2.34,3.60,3.88,3.80,3.95,4.60,5.60,7.00,10.00,12.50,14.00,16.80,19.28,29.79,38.70,,
Martinique [included in France data],7.79,10.31,15.35,27.78,32.65,34.99,37.33,39.67,42.00,,,,,,,,,,
Mauritania,0.19,0.26,0.36,0.48,0.67,0.98,1.43,1.87,2.28,4.00,4.50,5.00,6.20,10.70,15.20,18.00,20.80,,
Mauritius,7.28,8.78,10.25,13.69,15.17,16.70,20.22,21.81,22.51,28.33,34.95,35.42,40.12,44.80,50.14,52.19,55.40,58.60,61.73
Mayotte,1.21,,,,,,,,,,,,,,,,,,
Mexico,5.08,7.04,11.90,14.10,17.21,19.52,20.81,21.71,26.34,31.05,37.18,39.75,43.46,44.39,57.43,59.54,63.85,65.77,70.07
Micronesia,3.73,4.66,5.57,11.02,11.88,12.75,13.62,14.49,15.35,20.00,22.80,25.97,27.80,29.65,31.50,33.35,35.30,,
Moldova,1.28,1.49,3.79,10.63,14.63,19.62,20.45,23.39,27.50,32.30,38.00,43.37,60.00,67.00,69.00,71.00,76.12,,
Monaco,42.18,46.65,48.05,52.49,55.46,61.48,64.38,67.25,70.10,75.00,80.30,87.00,90.70,92.40,93.36,95.21,97.05,,
Mongolia,1.26,1.65,2.04,,,,9.00,9.80,10.00,10.20,12.50,16.40,17.70,19.94,22.50,22.27,23.71,47.13,51.08
Montenegro,,,,25.35,27.10,28.90,30.80,32.90,35.10,37.50,35.61,56.84,60.31,61.00,68.12,69.88,71.27,71.52,73.48
Montserrat,,,,,,25.91,20.43,20.32,20.26,35.00,54.55,,,,,,,,
Morocco,0.69,1.37,2.37,11.61,15.08,19.77,21.50,33.10,41.30,52.00,46.11,55.42,56.00,56.80,57.08,58.27,61.76,64.80,74.38
Mozambique,0.11,0.16,0.26,0.68,0.85,0.84,0.91,1.56,2.68,4.17,4.60,5.00,5.50,6.00,6.50,7.00,7.80,10.40,15.10
Myanmar,,0.00,0.00,0.02,0.07,0.18,0.22,0.22,0.22,0.25,0.98,4.00,8.00,11.52,,,23.62,,
Namibia,1.64,2.42,2.63,3.80,4.01,4.40,4.84,5.33,6.50,11.60,12.00,12.94,13.90,14.84,25.69,31.03,36.84,40.00,40.50
Nauru,,2.99,,,,,,,,,54.00,,,,,,62.39,,
Nepal (Republic of),0.20,0.24,0.31,0.45,0.83,1.14,1.41,1.73,1.97,7.93,9.00,11.15,13.30,15.44,17.58,19.69,21.40,,
Netherlands,43.98,49.37,61.29,68.52,81.00,83.70,85.82,87.42,89.63,90.72,91.42,92.86,93.96,91.67,91.72,90.41,93.20,91.89,93.29
New Caledonia,13.94,18.24,22.39,30.30,32.36,33.52,35.05,34.51,33.99,42.00,50.00,58.00,66.00,70.00,74.00,,82.01,,
New Zealand,47.38,53.24,59.08,61.85,62.72,69.00,69.76,72.03,79.70,80.46,81.23,81.64,82.78,85.50,88.22,88.47,90.81,,
Nicaragua,0.98,1.45,1.71,2.32,2.57,2.81,3.90,5.30,7.30,10.00,10.60,13.50,15.50,17.60,19.70,24.57,27.86,,
Niger,0.04,0.11,0.13,0.19,0.22,0.29,0.39,0.70,0.76,0.83,0.90,1.05,1.15,1.25,2.48,4.32,10.22,,
Nigeria,0.06,0.09,0.32,1.29,3.55,5.55,6.77,8.00,9.30,11.50,13.80,16.10,19.10,21.00,24.50,25.67,28.00,31.90,33.60
Niue,26.51,32.66,39.15,47.34,51.70,56.25,61.01,65.92,74.48,76.97,79.56,,,,,,,,
North Macedonia,2.49,3.47,17.33,24.44,26.45,28.62,36.30,46.04,51.77,51.90,56.70,57.45,65.24,68.06,70.38,72.16,74.52,79.17,81.41
Norway,52.00,64.00,72.84,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.49,94.65,95.05,96.30,96.81,97.30,96.36,96.49,98.00
Oman,3.52,5.89,6.87,6.76,6.68,8.30,16.68,20.00,26.80,35.83,48.00,60.00,66.45,70.22,73.53,76.85,80.19,85.50,90.30
Pakistan,,1.32,2.58,6.16,6.33,6.50,6.80,7.00,7.50,8.00,8.00,8.10,9.00,10.00,11.00,12.39,13.78,15.34,17.07
Palau,,,20.24,26.97,,,,,,,,,,,,,,,
Palestine,1.11,1.84,3.10,4.40,16.01,18.41,21.18,24.36,32.23,37.40,41.08,43.40,46.60,53.67,56.70,59.90,63.30,64.40,70.62
Panama,6.55,7.27,8.52,11.14,11.48,17.35,22.29,33.82,39.08,40.10,42.70,40.30,44.03,44.92,51.21,54.00,59.95,61.81,63.63
Papua New Guinea,0.84,0.90,1.32,1.51,1.72,1.75,1.79,1.15,1.61,1.28,2.00,3.50,5.10,6.50,7.90,9.60,11.21,,
Paraguay,0.75,1.10,1.79,3.45,7.91,7.96,11.21,14.27,18.90,19.80,24.76,29.34,36.90,43.00,49.72,53.40,61.08,64.99,68.52
Peru,3.08,7.58,8.97,14.10,17.10,20.70,25.20,30.57,31.40,34.77,36.01,38.20,39.20,40.20,40.85,45.46,50.45,55.05,59.95
Philippines,1.98,2.52,4.33,5.24,5.40,5.74,5.97,6.22,9.00,25.00,29.00,36.24,48.10,,,,,,46.88
Poland,7.29,9.90,21.15,32.53,38.81,44.58,48.60,53.13,58.97,62.32,61.95,62.31,62.85,66.60,68.00,73.30,75.99,77.54,80.44
Portugal,16.43,18.09,19.37,31.78,34.99,38.01,42.09,44.13,48.27,53.30,55.25,60.34,62.10,64.59,68.63,70.42,73.79,74.66,75.35
Puerto Rico,10.47,15.63,17.55,22.13,23.40,25.44,27.86,38.00,41.50,45.30,48.00,69.00,69.00,,63.47,68.64,68.74,70.86,77.74
Qatar,4.86,6.17,10.23,20.70,24.73,28.97,37.00,44.30,53.10,69.00,69.00,69.30,85.30,91.49,92.88,95.12,97.39,99.65,99.65
Réunion [included in France data],13.82,16.30,20.05,25.89,28.06,30.18,32.25,34.29,36.28,,,,,,,,,,
Romania,3.61,4.54,6.58,15.00,21.50,24.66,28.30,32.42,36.60,39.93,40.01,45.88,49.76,54.08,55.76,59.50,63.75,70.68,73.66
Russian Federation,1.98,2.94,4.13,12.86,15.23,18.02,24.66,26.83,29.00,43.00,49.00,63.80,67.97,70.52,70.10,73.09,76.01,80.86,82.64
Rwanda,0.06,0.24,0.29,0.43,0.56,,2.12,4.50,7.70,8.00,7.00,8.02,9.00,10.60,18.00,20.00,21.77,25.00,26.00
Saint Kitts and Nevis,5.86,7.71,21.15,24.74,34.00,38.50,43.50,49.20,55.70,63.00,63.20,64.00,64.60,68.00,75.70,76.82,80.71,,
Saint Lucia,5.09,8.18,14.64,21.40,21.57,24.50,27.90,30.00,31.00,32.50,34.00,34.82,36.00,39.70,42.53,46.73,50.82,,
Saint Vincent and the Grenadines,3.25,5.09,5.55,7.37,9.20,12.00,16.00,21.00,31.00,33.70,36.70,40.00,43.50,47.40,51.77,55.57,65.56,,
Samoa,0.57,1.69,2.24,3.08,3.35,4.47,4.75,5.03,6.00,7.00,11.00,12.92,15.30,21.20,25.41,29.41,33.61,,
San Marino,48.80,50.34,50.83,50.57,50.26,50.21,50.36,54.52,54.21,,49.60,,,,,,60.18,,
Sao Tome and Principe,4.64,6.31,7.58,13.32,13.76,14.18,14.59,15.48,16.41,18.75,20.16,21.57,23.00,24.41,25.82,28.00,29.93,31.90,32.00
